NewID,OriginalID#,Word,Curse_Quality,Concreteness,Frequency,Valence,Arousal,Dominance,Body_Other,Receptacle_Other,Vehicle_Other,Animate_Not,Dwelling_Not,Profession_Not,Animal_Other,Manufactured_Other,N_Lett,N_Syll,N_Phones,OrthDensity,NClustersPerSyll,NStopsPerSyllable,NClosedSyllPerSyll
135,274,dirt,3.965517241,587,25.69,4.5,3.44,4.7,0,0,0,0,0,0,0,0,4,1,3,6,1,2,1
331,706,princess,3.873563218,597,39.59,7.64,5.42,5.74,0,0,0,1,0,0,0,1,8,2,7,1,0.5,0.5,1
125,245,crab,3.873563218,597,6.9,5.81,4.13,4.52,0,0,0,1,0,0,1,0,4,1,4,11,1,2,1
299,642,panties,3.83908046,574,8.12,6.38,5.65,4.95,0,0,0,0,0,0,0,1,7,2,4,3,0,1,1
327,698,pork,3.83908046,569,10.53,5,3.8,5.85,0,0,0,0,0,0,0,0,4,1,3,12,1,2,1
219,469,juice,3.827586207,596,26.88,6.9,4.6,5.74,0,0,0,0,0,0,0,0,5,1,2,3,0,1,1
425,894,tail,3.827586207,599,23.9,5.3,3.27,5.32,0,0,0,0,0,0,0,0,4,1,3,18,0,1,1
14,36,baby,3.816091954,587,509.37,6.67,4.97,4.94,0,0,0,1,0,0,0,0,4,2,4,4,0,1,0
17,43,banana,3.804597701,654,10.73,6.71,3.21,6.05,0,0,0,0,0,0,0,0,6,3,6,1,0,0.33,0
193,402,hand,3.781609195,561,279.65,5.9,3.98,5.88,1,0,0,0,0,0,0,0,4,1,4,15,1,1,1
324,694,pony,3.75862069,600,8.1,6.71,4.29,5.9,0,0,0,1,0,0,1,0,4,2,4,7,0,0.5,0
72,145,camel,3.747126437,574,5.02,5.29,3.1,5.21,0,0,0,1,0,0,1,0,5,2,5,4,0,0.5,0.5
93,185,cheese,3.747126437,609,39.04,6.81,3.8,7.11,0,0,0,0,0,0,0,1,6,1,-,2,0,1,1
296,631,package,3.735632184,597,22.78,5.17,4.73,5.17,0,1,0,0,0,0,0,1,7,2,5,2,0,1.5,0.5
24,62,bean,3.67816092,608,6.84,6,2.95,5.6,0,0,0,0,0,0,0,0,4,1,3,16,0,1,1
3,16,animal,3.67816092,566,45.49,7.06,4.3,5.72,0,0,0,1,0,0,1,0,6,3,6,1,0,0,0.67
217,464,jelly,3.67816092,587,7.12,5.9,3.63,5.68,0,0,0,0,0,0,0,1,5,2,4,4,0,0.5,0
484,1016,wood,3.666666667,560,27,5.82,3.5,6.37,0,0,0,0,0,0,0,0,4,1,3,10,0,1,1
280,598,needle,3.666666667,565,11.92,3.97,4.36,5.12,0,0,0,0,0,0,0,1,6,2,4,1,0,0.5,0.5
376,797,sheep,3.643678161,603,13.43,5.32,2.95,4.42,0,0,0,1,0,0,1,0,5,1,3,6,0,1,1
86,173,cave,3.609195402,595,13.98,5.15,4.39,4.45,0,1,0,0,1,0,0,0,4,1,3,22,0,1,1
260,560,missile,3.609195402,560,13.14,2.85,5.67,4.2,0,0,0,0,0,0,0,1,7,2,5,1,0,0,0.5
300,643,pants,3.597701149,595,58.75,5.62,3.8,6.29,0,0,0,0,0,0,0,1,5,1,4,11,1,2,1
21,54,basket,3.574712644,595,13.18,5.66,2.48,5.3,0,1,0,0,0,0,0,1,6,2,6,3,0,1.5,1
158,326,fire,3.563218391,634,215.49,4.32,6.05,4.57,0,0,0,0,0,0,0,0,4,2,3,21,0,0.5,0.5
79,154,cannon,3.551724138,640,8.71,4.74,5.09,4.95,0,1,0,0,0,0,0,1,6,2,5,5,0,0.5,0.5
433,912,throat,3.551724138,564,36.02,4.76,4.2,5.84,1,0,0,0,0,0,0,0,6,1,4,2,1,1,1
144,293,duck,3.551724138,576,24.76,6.11,4,5.3,0,0,0,1,0,0,1,0,4,1,3,18,0,2,1
44,96,body,3.528735632,585,195.53,5.95,4.62,5.76,1,0,0,1,0,0,0,0,4,2,4,4,0,1,0
160,329,fish,3.528735632,561,83.49,6.42,3.33,6.08,0,0,0,1,0,0,1,0,4,1,3,5,0,0,1
273,585,mud,3.528735632,634,14.82,5.06,3.19,4.27,0,0,0,0,0,0,0,0,3,1,3,10,0,1,1
333,710,pudding,3.528735632,639,6.16,6.72,3.8,5.46,0,0,0,0,0,0,0,1,7,2,5,2,0,1,0.5
224,486,lady,3.517241379,586,217.08,6.91,4.05,5.87,0,0,0,1,0,0,0,0,4,2,4,6,0,0.5,0
248,530,machine,3.517241379,575,70.25,5,4.39,4.8,0,0,0,0,0,0,0,1,7,2,5,1,0,0,0.5
149,306,elephant,3.505747126,600,11.37,6.17,4.23,4.23,0,0,0,1,0,0,1,0,8,3,7,1,0.33,0.33,0.33
374,792,seed,3.505747126,623,7.57,6.38,3.68,5.19,0,0,0,0,0,0,0,0,4,1,3,24,0,1,1
59,118,brick,3.494252874,597,10.18,4.65,2.53,5,0,0,0,0,0,0,0,1,5,1,4,9,1,2,1
58,117,breast,3.494252874,615,8.96,6.64,5.39,5,1,0,0,0,0,0,0,0,6,1,5,3,2,2,1
450,940,train,3.471264368,569,95.06,6.36,4.05,5.72,0,1,1,0,0,0,0,1,5,1,4,10,1,1,1
